Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Salins-les-Bains,NON,"46.941111111111,5.8783333333333",46.941111111111,5.8783333333333,Salins-les-Bains,1
Senlis,NON,"49.207222222222,2.5866666666667",49.207222222222,2.5866666666667,Senlis,1
Sèvres,OUI,"48.823055555556,2.2108333333333",48.823055555556,2.2108333333333,Sèvres,1
Siouville-Hague,NON,"49.558055555556,-1.8394444444444",49.558055555556,-1.8394444444444,Siouville-Hague,1
Sotteville-sur-Mer,NON,"49.881388888889,0.83027777777778",49.881388888889,0.83027777777778,Sotteville-sur-Mer,1
Sully,NON,"49.299722222222,-0.73694444444444",49.299722222222,-0.73694444444444,Sully,1
Talloires,NON,"45.840277777778,6.2136111111111",45.840277777778,6.2136111111111,Talloires,1
Tancarville,NON,"49.486944444444,0.45361111111111",49.486944444444,0.45361111111111,Tancarville,1
Théoule-sur-Mer,NON,"43.506944444444,6.94",43.506944444444,6.94,Théoule,1
Tréguier,OUI,"48.785,-3.2325",48.785,-3.2325,Tréguier,1
Trouville,NON,"49.573888888889,0.60055555555556",49.573888888889,0.60055555555556,Trouville,1
Vanves,OUI,"48.82,2.2888888888889",48.82,2.2888888888889,Vanves,1
Varengeville-sur-Mer,NON,"49.905833333333,0.99472222222222",49.905833333333,0.99472222222222,Varengeville-sur-Mer,1
Verberie,NON,"49.310555555556,2.7313888888889",49.310555555556,2.7313888888889,Verberie,1
Verdun,NON,"49.159722222222,5.3827777777778",49.159722222222,5.3827777777778,Verdun,1
Veules-les-Roses,OUI,"49.873611111111,0.79944444444444",49.873611111111,0.79944444444444,Veules-les-Roses,1
Vézelay,NON,"47.465833333333,3.7458333333333",47.465833333333,3.7458333333333,Vézelay,1
Vichy,OUI,"46.126944444444,3.4258333333333",46.126944444444,3.4258333333333,Vichy,1
Villejuif,OUI,"48.793888888889,2.3611111111111",48.793888888889,2.3611111111111,Villejuif,1
Villeneuve-la-Garenne,NON,"48.937222222222,2.3277777777778",48.937222222222,2.3277777777778,Villeneuve-la-Garenne,1
Villeneuve-lès-Avignon,NON,"43.966388888889,4.7958333333333",43.966388888889,4.7958333333333,Villeneuve-lès-Avignon,1
Villers-sur-Mer,NON,"49.320555555556,-0.0063888888888889",49.320555555556,-0.0063888888888889,Villers-sur-Mer,1
Villersexel,NON,"47.550555555556,6.4333333333333",47.550555555556,6.4333333333333,Villersexel,1
Yport,NON,"49.737777777778,0.31305555555556",49.737777777778,0.31305555555556,Yport,1
blank vote,NON,,,,(blank),15
